country code,Country,World region,Survey ,Year,Area,Multidimensional Poverty Index,Headcount ratio: Population in multidimensional poverty,Intensity of deprivation among the poor,Vulnerable to poverty,In severe poverty,Year of the survey,Population 2020,Population 2021,Population share by area,Population size by area,Number of MPI poor by area
AFG,Afghanistan,South Asia,DHS,2015-2016,Urban,0.0940717798,21.2095338472,44.3535348129,21.23217863,7.0600389143,34636.207,38972.23,40099.462,24.0064638122,9626.462890625,2041.7279052734
AFG,Afghanistan,South Asia,DHS,2015-2016,Rural,0.327840948,66.8722403804,49.0249685291,17.1600511078,30.4855990801,34636.207,38972.23,40099.462,75.9935361878,30473,20377.978515625
ALB,Albania,Europe and Central Asia,DHS,2017-2018,Urban,0.002713055,0.7098571212,38.2197333026,3.3837946063,0.0601632424,2877.013,2866.849,2854.71,58.3598304868,1666.00390625,11.8262472153
ALB,Albania,Europe and Central Asia,DHS,2017-2018,Rural,0.0027966847,0.6947375261,40.2552709471,7.3619862164,0.0767308958,2877.013,2866.849,2854.71,41.6401695132,1188.7060546875,8.2583866119
DZA,Algeria,Arab States,MICS,2018-2019,Urban,0.0023344245,0.6422082181,36.3499628585,2.0124037393,0.0450778235,42705.368,43451.666,44177.969,63.0961941414,27874.6171875,179.0130767822
DZA,Algeria,Arab States,MICS,2018-2019,Rural,0.0106660005,2.6437001911,40.344970022,6.3338126066,0.4724861792,42705.368,43451.666,44177.969,36.9038058586,16303.3515625,431.0117492676
AGO,Angola,Sub-Saharan Africa,DHS,2015-2016,Urban,0.1445186416,29.8136530879,48.4739797334,19.9089173809,12.8818141749,29154.746,33428.486,34503.774,63.5178102087,21916.041015625,6533.97265625
AGO,Angola,Sub-Saharan Africa,DHS,2015-2016,Rural,0.5225562726,88.1721531649,59.2654544338,7.9412652498,66.5401559973,29154.746,33428.486,34503.774,36.4821897913,12587.732421875,11098.875
ARG,Argentina,Latin America and the Caribbean,MICS,2019-2020,Urban,0.0014692951,0.4323233348,33.9860236491,1.6474592819,0.0051213561,45036.032,45036.032,45276.78,100,45276.78125,195.7420959473
ARM,Armenia,Europe and Central Asia,DHS,2015-2016,Urban,0,0,,1.2502598913,0,2865.835,2805.608,2790.974,58.2900414085,1626.8598632813,0
ARM,Armenia,Europe and Central Asia,DHS,2015-2016,Rural,0.0016544466,0.4568534446,36.2139469067,4.9090984472,0,2865.835,2805.608,2790.974,41.7099585915,1164.1141357422,5.3182954788
BGD,Bangladesh,South Asia,MICS,2019,Urban,0.060386921,14.5183825317,41.5934219153,14.6692599216,3.3835350763,165516.222,167420.951,169356.251,21.5707270333,36531.375,5303.7646484375
BGD,Bangladesh,South Asia,MICS,2019,Rural,0.1160719269,27.4245211445,42.3241398902,19.179132334,7.3314981792,165516.222,167420.951,169356.251,78.4292729667,132824.875,36426.5859375
BRB,Barbados,Latin America and the Caribbean,MICS,2012,Urban,0.009003916,2.6416205491,34.084819726,0.343212316,0,276.197,280.693,281.2,62.6589139329,176.1968688965,4.6544528008
BRB,Barbados,Latin America and the Caribbean,MICS,2012,Rural,0.0077317133,2.2391586164,34.5295472981,0.7411200014,0,276.197,280.693,281.2,37.3410860671,105.0031356812,2.3511867523
BLZ,Belize,Latin America and the Caribbean,MICS,2015-2016,Urban,0.0030709896,0.8511975605,36.0784581741,4.177920161,0,367.313,394.921,400.031,42.204947429,168.8328704834,1.4371012449
BLZ,Belize,Latin America and the Caribbean,MICS,2015-2016,Rural,0.0273599921,6.8246255877,40.0900997616,11.4222203937,1.0904731225,367.313,394.921,400.031,57.795052571,231.1981201172,15.7784061432
BEN,Benin,Sub-Saharan Africa,DHS,2017-2018,Urban,0.2541898549,49.1940984759,51.6708025541,18.9623808479,26.0097466766,11940.683,12643.123,12996.895,39.9821887904,5196.4428710938,2556.3432617188
BEN,Benin,Sub-Saharan Africa,DHS,2017-2018,Rural,0.4432753399,78.5267076841,56.4489907909,11.8375651254,50.8813568436,11940.683,12643.123,12996.895,60.0178112096,7800.4516601563,6125.4379882813
BOL,Bolivia,Latin America and the Caribbean,EDSA,2016,Urban,0.0047211664,1.1819789461,39.9428979318,7.3125570202,0.1903395333,11263.015,11936.162,12079.472,68.6411988374,8291.494140625,98.0037155151
BOL,Bolivia,Latin America and the Caribbean,EDSA,2016,Rural,0.1100603455,26.3048728717,41.8402879437,22.675533226,5.688468402,11263.015,11936.162,12079.472,31.3588011626,3787.9775390625,996.422668457
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2011-2012,Urban,0.0087689118,2.4191440846,36.2479931073,1.671998041,0.0440846708,3674.374,3318.407,3270.943,34.2124834505,1119.0708007813,27.0719356537
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2011-2012,Rural,0.0080675393,2.0710376315,38.9540931621,5.3234348011,0.0713648378,3674.374,3318.407,3270.943,65.7875165495,2151.8720703125,44.5660820007
BWA,Botswana,Sub-Saharan Africa,BMTHS,2015-2016,Urban,0.0338138632,8.4522091569,40.0059470269,14.7832754602,1.3448456718,2352.416,2546.402,2588.423,64.1725986691,1661.0583496094,140.3961334229
BWA,Botswana,Sub-Saharan Africa,BMTHS,2015-2016,Rural,0.1421801807,32.9225477718,43.1862630232,28.4445421789,7.3728137289,2352.416,2546.402,2588.423,35.8274013309,927.3646850586,305.3120727539
BRA,Brazil,Latin America and the Caribbean,PNAD,2015,Urban,0.0085357831,1.9758207747,43.2012011045,3.8970606286,0.4944428743,205188.205,213196.304,214326.223,84.7079937536,181551.4375,3587.1311035156
BRA,Brazil,Latin America and the Caribbean,PNAD,2015,Rural,0.0596099037,14.1789683647,42.0410724807,19.0274159265,3.4001485456,205188.205,213196.304,214326.223,15.2920062464,32774.78125,4647.1259765625
BDI,Burundi,Sub-Saharan Africa,DHS,2016-2017,Urban,0.1408224817,29.8107814378,47.2387756682,28.7210952779,12.6776399757,11155.593,12220.227,12551.213,10.9300422481,1371.8529052734,408.9600830078
BDI,Burundi,Sub-Saharan Africa,DHS,2016-2017,Rural,0.4417529181,80.6547386522,54.7708572934,14.1709179337,50.165935147,11155.593,12220.227,12551.213,89.0699577519,11179.3603515625,9016.68359375
KHM,Cambodia,East Asia and the Pacific,DHS,2021-2022,Urban,0.0365521464,9.2003297133,39.7291700486,11.057593147,1.4758446228,16767.842,16396.86,16589.023,38.5367195734,6392.865234375,588.1646728516
KHM,Cambodia,East Asia and the Pacific,DHS,2021-2022,Rural,0.091569985,21.3122235125,42.9659462403,26.4546830846,5.7337991338,16767.842,16396.86,16589.023,61.4632804266,10196.158203125,2173.0280761719
CMR,Cameroon,Sub-Saharan Africa,DHS,2018,Urban,0.0748256117,16.0324099987,46.6714684524,18.830345468,5.5473041896,25076.747,26491.087,27198.628,49.9152679194,13576.267578125,2176.6027832031
CMR,Cameroon,Sub-Saharan Africa,DHS,2018,Rural,0.3887626031,71.0576145105,54.7108998485,16.3466269179,43.5072725902,25076.747,26491.087,27198.628,50.0847320806,13622.3603515625,9679.724609375
CAF,Central African Republic,Sub-Saharan Africa,MICS,2018-2019,Urban,0.2753463656,56.0337930233,49.1393408827,25.8501624975,25.4361915069,5209.324,5343.02,5457.154,35.1937179958,1920.5754394531,1076.1712646484
CAF,Central African Republic,Sub-Saharan Africa,MICS,2018-2019,Rural,0.5623573658,93.6541965163,60.0461470675,5.8704547894,72.3127968671,5209.324,5343.02,5457.154,64.8062820042,3536.5786132813,3312.154296875
TCD,Chad,Sub-Saharan Africa,MICS,2019,Urban,0.3016579357,57.3640696893,52.5865646107,19.1703396316,32.4515321438,16126.866,16644.701,17179.74,18.8823495432,3243.9384765625,1860.8551025391
TCD,Chad,Sub-Saharan Africa,MICS,2019,Rural,0.567140565,90.4159118298,62.7257474432,8.6863204817,72.0941560847,16126.866,16644.701,17179.74,81.1176504568,13935.8017578125,12600.1826171875
CHN,China,East Asia and the Pacific,CFPS,2014,Urban,0.0078756052,2.0588223996,38.2529604867,10.4987084416,0.0566072766,1385189.668,1424929.781,1425893.465,55.2886086643,788356.6875,16230.8642578125
CHN,China,East Asia and the Pacific,CFPS,2014,Rural,0.0262860987,6.1650187687,42.6374999413,26.0138887065,0.6495001057,1385189.668,1424929.781,1425893.465,44.7113913357,637536.8125,39304.265625
COL,Colombia,Latin America and the Caribbean,DHS,2015-2016,Urban,0.0031774422,0.8465602054,37.5335643712,1.9588006243,0.0851412657,47625.955,50930.662,51516.562,76.0886412284,39198.25390625,331.8368225098
COL,Colombia,Latin America and the Caribbean,DHS,2015-2016,Rural,0.0720979523,17.5737157007,41.0260149316,19.8226401524,3.1840459129,47625.955,50930.662,51516.562,23.9113587716,12318.3095703125,2164.7846679688
COM,Comoros,Sub-Saharan Africa,DHS,2012,Urban,0.0859155679,18.721930901,45.8903349188,21.1682910951,7.2828286973,684.553,806.166,821.625,31.3260307414,257.3825073242,48.1869735718
COM,Comoros,Sub-Saharan Africa,DHS,2012,Rural,0.2240404475,45.723410862,48.9990670679,22.7483887837,20.0943558512,684.553,806.166,821.625,68.6739692586,564.2424926758,257.9909057617
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Urban,0.035561219,8.598705971,41.3564774914,18.3140573858,1.954272332,5064.386,5702.174,5835.806,67.1257981838,3917.3312988281,336.8398132324
COG,Congo,Sub-Saharan Africa,MICS,2014-2015,Rural,0.2670955852,56.259570692,47.4755818202,27.4133770072,24.5398340865,5064.386,5702.174,5835.806,32.8742018162,1918.474609375,1079.3255615234
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Urban,0.1659840258,35.6387408001,46.5740433331,24.8547612588,13.2940260442,87087.355,92853.164,95894.118,43.793267393,41995.16796875,14966.548828125
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,Rural,0.4599073735,87.0191315426,52.8512943525,11.6306318604,55.0709347624,87087.355,92853.164,95894.118,56.206732607,53898.94921875,46902.3984375
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,Urban,0.0015134134,0.4198727581,36.0445731254,1.9139378983,0,5040.734,5123.105,5153.957,70.0796274682,3611.8737792969,15.1652736664
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,Rural,0.0031607444,0.8229221597,38.4087891145,3.5713498816,0.0504109504,5040.734,5123.105,5153.957,29.9203725318,1542.0831298828,12.6901435852
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Urban,0.0847767593,18.7939989807,45.1084196366,20.318401675,6.2353093261,24213.622,26811.79,27478.249,47.0819883043,12937.3056640625,2431.4370117188
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Rural,0.3703019179,70.3331331267,52.6497116546,15.1290315565,40.6851364641,24213.622,26811.79,27478.249,52.9180116957,14540.943359375,10227.1005859375
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Urban,0.0004924406,0.1419923466,34.6807843817,1.0236458642,0,11316.697,11300.698,11256.372,63.1581451865,7109.3159179688,10.0946846008
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Rural,0.0064537703,1.6740533197,38.5517609989,5.4509681135,0.255756383,11316.697,11300.698,11256.372,36.8418548135,4147.0561523438,69.4239349365
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,Urban,0.004827659,1.2882073829,37.4757906956,3.1638692819,0.0790371591,10881.882,10999.664,11117.873,74.3991445373,8271.6025390625,106.5553970337
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,Rural,0.0202901489,5.1099560128,39.7070910895,9.534271974,0.717454686,10881.882,10999.664,11117.873,25.6008554627,2846.2705078125,145.4431762695
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Urban,0.0026077238,0.7249182104,35.9726623535,3.2675636308,0.0086148627,17015.672,17588.595,17797.737,68.8812342262,12259.30078125,88.8699035645
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Rural,0.0197347384,5.1155245819,38.5781323476,11.8247926286,0.4412575471,17015.672,17588.595,17797.737,31.1187657738,5538.4360351563,283.3200683594
EGY,Egypt,Arab States,DHS,2014,Urban,0.012193833,3.4115405158,35.742893705,1.386857259,0.3651175271,95592.324,107465.134,109262.178,37.0127842629,40440.97265625,1379.66015625
EGY,Egypt,Arab States,DHS,2014,Rural,0.0240819026,6.3122554774,38.1510265041,8.8533351591,0.7114534309,95592.324,107465.134,109262.178,62.9872157371,68821.203125,4344.169921875
SLV,El Salvador,Latin America and the Caribbean,MICS,2014,Urban,0.0117544933,2.8551006713,41.1701534562,5.7303171794,0.692919438,6209.526,6292.731,6314.167,60.9666088399,3849.5334472656,109.9080581665
SLV,El Salvador,Latin America and the Caribbean,MICS,2014,Rural,0.0648065484,15.6794665987,41.3321128897,16.3889305628,3.1823771622,6209.526,6292.731,6314.167,39.0333911601,2464.6335449219,386.44140625
SWZ,eSwatini,Sub-Saharan Africa,MICS,2014,Urban,0.0229198452,5.5381897182,41.3850849017,12.5490819118,0.9285179543,1125.865,1180.655,1192.271,26.1852031716,312.1985778809,17.2901496887
SWZ,eSwatini,Sub-Saharan Africa,MICS,2014,Rural,0.1019710346,24.0650788565,42.3730315831,23.7989184783,5.5730096299,1125.865,1180.655,1192.271,73.8147968284,880.0723876953,211.7901153564
ETH,Ethiopia,Sub-Saharan Africa,DHS,2019,Urban,0.186650106,39.2213721771,47.5888770992,22.0598803018,17.3795924345,114120.594,117190.911,120283.026,27.0726851242,32563.845703125,12771.9873046875
ETH,Ethiopia,Sub-Saharan Africa,DHS,2019,Rural,0.4334083149,79.6938425638,54.3841658265,16.9778435932,50.9588369005,114120.594,117190.911,120283.026,72.9273148758,87719.1796875,69906.78125
FJI,Fiji,East Asia and the Pacific,MICS,2021,Urban,0.0036558488,0.9388653158,38.9390121685,5.0908549628,0.149208451,924.61,920.422,924.61,58.2263602789,538.3667602539,5.0545387268
FJI,Fiji,East Asia and the Pacific,MICS,2021,Rural,0.0086872862,2.3092440671,37.6196102261,10.5878705395,0.3034507822,924.61,920.422,924.61,41.7736397211,386.2432556152,8.9192991257
GAB,Gabon,Sub-Saharan Africa,DHS,2012,Urban,0.036707667,8.7557310102,41.9241602813,17.7174698606,1.7216210036,1836.705,2292.573,2341.179,83.9474989168,1965.3612060547,172.081741333
GAB,Gabon,Sub-Saharan Africa,DHS,2012,Rural,0.2422064556,51.4021606997,47.1198977376,22.0396073074,22.7530588124,1836.705,2292.573,2341.179,16.0525010832,375.817779541,193.1784515381
GMB,Gambia,Sub-Saharan Africa,DHS,2019-2020,Urban,0.1324376068,30.1148777454,43.9774678485,32.5029633682,8.0091463986,2573.995,2573.995,2639.916,68.9865164128,1821.1860351563,548.4479370117
GMB,Gambia,Sub-Saharan Africa,DHS,2019-2020,Rural,0.3439116179,67.4992708487,50.950419698,18.0847770753,37.9343488599,2573.995,2573.995,2639.916,31.0134835872,818.7299194336,552.63671875
GEO,Georgia,Europe and Central Asia,MICS,2018,Urban,0.0003320909,0.0875296745,37.9403800285,0.7604955485,0.0220730433,3772.325,3765.912,3757.98,57.4773649236,2159.9877929688,1.8906302452
GEO,Georgia,Europe and Central Asia,MICS,2018,Rural,0.0024780288,0.6815572572,36.3583367838,3.8727106896,0,3772.325,3765.912,3757.98,42.5226350764,1597.9920654297,10.8912305832
GHA,Ghana,Sub-Saharan Africa,MICS,2017-2018,Urban,0.0528187083,12.3647048784,42.7173222894,16.4301890271,2.6921798691,30870.641,32180.401,32833.031,46.1197180484,15142.5009765625,1872.3255615234
GHA,Ghana,Sub-Saharan Africa,MICS,2017-2018,Rural,0.16120644,35.1418607545,45.8730518309,23.2355379654,13.2787675394,30870.641,32180.401,32833.031,53.8802819516,17690.529296875,6216.78125
GTM,Guatemala,Latin America and the Caribbean,DHS,2014-2015,Urban,0.0526079798,11.8662244239,44.3342194664,17.9694702918,3.8959710963,16001.107,17362.718,17608.483,42.2692897426,7442.98046875,883.2007446289
GTM,Guatemala,Latin America and the Caribbean,DHS,2014-2015,Rural,0.1927584132,41.3403183753,46.627220291,23.3707126302,16.5745060865,16001.107,17362.718,17608.483,57.7307102574,10165.501953125,4202.4506835938
GIN,Guinea,Sub-Saharan Africa,DHS,2018,Urban,0.1238241922,27.434518975,45.1344498789,30.4076112601,8.7172910196,12554.864,13205.153,13531.906,34.2289387092,4631.8276367188,1270.7196044922
GIN,Guinea,Sub-Saharan Africa,DHS,2018,Rural,0.5030144277,86.3914255088,58.2250408201,9.1177546117,61.6245300699,12554.864,13205.153,13531.906,65.7710612908,8900.078125,7688.904296875
GNB,Guinea-Bissau,Sub-Saharan Africa,MICS,2018-2019,Urban,0.1510604762,34.4345686511,43.8688452159,28.0950440973,9.2306833779,1970.457,2015.828,2060.721,35.6561756976,734.7742919922,253.0163574219
GNB,Guinea-Bissau,Sub-Saharan Africa,MICS,2018-2019,Rural,0.4457713506,80.9996308843,55.0337508641,15.4465596003,50.650382352,1970.457,2015.828,2060.721,64.3438243024,1325.9466552734,1074.0118408203
GUY,Guyana,Latin America and the Caribbean,MICS,2019-2020,Urban,0.0065093298,1.732819831,37.5649541704,4.6768262651,0.0759284551,797.202,797.202,804.567,24.3733096737,196.099609375,3.3980529308
GUY,Guyana,Latin America and the Caribbean,MICS,2019-2020,Rural,0.007375928,1.852876789,39.8079788706,7.0862394728,0.270630054,797.202,797.202,804.567,75.6266903263,608.4674072266,11.2741518021
HTI,Haiti,Latin America and the Caribbean,DHS,2016-2017,Urban,0.0660659001,15.7478842037,41.952238939,20.9440986926,3.2709540547,10863.543,11306.801,11447.569,38.990132275,4463.4223632813,702.8945922852
HTI,Haiti,Latin America and the Caribbean,DHS,2016-2017,Rural,0.2849186847,57.5788454438,49.4832229613,22.4259047419,28.2767678211,10863.543,11306.801,11447.569,61.009867725,6984.146484375,4021.3908691406
HND,Honduras,Latin America and the Caribbean,MICS,2019,Urban,0.0119848806,3.0385824059,39.4423419291,7.1242114969,0.3471221881,9958.829,10121.763,10278.345,44.3221957115,4555.5883789063,138.4253082275
HND,Honduras,Latin America and the Caribbean,MICS,2019,Rural,0.082334797,19.0886765204,43.1327949435,20.8955777218,5.1600520046,9958.829,10121.763,10278.345,55.6778042885,5722.7568359375,1092.3985595703
IND,India,South Asia,DHS,2019-2021,Urban,0.0225480451,5.5155067464,40.8811848335,10.5029081877,1.1019050072,1407563.842,1396387.127,1407563.842,30.8154929692,433747.75,23923.38671875
IND,India,South Asia,DHS,2019-2021,Rural,0.0894163676,21.2376672842,42.1027254869,22.3321332808,5.64547357,1407563.842,1396387.127,1407563.842,69.1845070308,973816.125,206815.828125
IDN,Indonesia,East Asia and the Pacific,DHS,2017,Urban,0.0071407995,1.9592224929,36.4471086317,1.8850696143,0.132916296,264498.852,271857.97,273753.191,49.6319942197,135869.171875,2661.9794921875
IDN,Indonesia,East Asia and the Pacific,DHS,2017,Rural,0.0207803099,5.2545376808,39.547361106,7.56091651,0.7503920169,264498.852,271857.97,273753.191,50.3680057803,137884.015625,7245.1674804688
IRQ,Iraq,Arab States,MICS,2018,Urban,0.0251787926,6.8663978065,36.6695803683,3.1619891784,0.9142825799,40590.7,42556.984,43533.592,69.3151338627,30175.3671875,2071.9606933594
IRQ,Iraq,Arab States,MICS,2018,Rural,0.0496714195,12.63152376,39.3233788799,9.9462533789,2.2121340424,40590.7,42556.984,43533.592,30.6848661373,13358.224609375,1687.3472900391
JAM,Jamaica,Latin America and the Caribbean,JSLC,2018,Urban,0.0075605016,1.9079982361,39.6253068629,3.4809125209,0.1883613744,2811.835,2820.436,2827.695,53.647214325,1516.9796142578,28.943944931
JAM,Jamaica,Latin America and the Caribbean,JSLC,2018,Rural,0.0145714937,3.7798683884,38.5502673348,6.7638452084,0.283243083,2811.835,2820.436,2827.695,46.352785675,1310.7154541016,49.5433197021
JOR,Jordan,Arab States,DHS,2017-2018,Urban,0.0012307456,0.3466533775,35.5036385612,0.6406143655,0.0015737014,10459.865,10928.721,11148.278,89.2255183929,9947.1083984375,34.4819869995
JOR,Jordan,Arab States,DHS,2017-2018,Rural,0.0039703192,1.1313766249,35.0928163875,1.1420431945,0,10459.865,10928.721,11148.278,10.7744816071,1201.1691894531,13.5897474289
KAZ,Kazakhstan,Europe and Central Asia,MICS,2015,Urban,0.0006299712,0.1872344538,33.6461130089,0.7419019114,0,17835.909,18979.243,19196.465,53.1890360896,10210.4150390625,19.1174144745
KAZ,Kazakhstan,Europe and Central Asia,MICS,2015,Rural,0.0027249109,0.7549293289,36.0949142066,3.0023100926,0,17835.909,18979.243,19196.465,46.8109639104,8986.05078125,67.8383331299
KEN,Kenya,Sub-Saharan Africa,DHS,2014,Urban,0.0786662858,18.7500800202,41.9551733918,25.6234652496,3.9929512046,45831.863,51985.78,53005.614,33.7557835228,17892.4609375,3354.8508300781
KEN,Kenya,Sub-Saharan Africa,DHS,2014,Rural,0.2177120683,47.0198164978,46.3021943729,40.9656485102,16.7436361291,45831.863,51985.78,53005.614,66.2442164772,35113.15234375,16510.140625
KIR,Kiribati,East Asia and the Pacific,MICS,2018-2019,Urban,0.047710393,11.99645861,39.770397704,20.0973882249,2.0067876642,124.241,126.463,128.874,53.8939932098,69.4553451538,8.3321819305
KIR,Kiribati,East Asia and the Pacific,MICS,2018-2019,Rural,0.1180851971,28.9272946543,40.8213759902,42.0489063145,5.3162717931,124.241,126.463,128.874,46.1060067902,59.4186553955,17.1882095337
KGZ,Kyrgyzstan,Europe and Central Asia,MICS,2018,Urban,0.0001809797,0.0501256125,36.1052386225,1.8486587268,0,6223.494,6424.874,6527.743,36.120491885,2357.8527832031,1.1818881035
KGZ,Kyrgyzstan,Europe and Central Asia,MICS,2018,Rural,0.0021299384,0.5869260308,36.2897238955,7.1550832217,0,6223.494,6424.874,6527.743,63.879508115,4169.8901367188,24.4741706848
LAO,Lao PDR,East Asia and the Pacific,MICS,2017,Urban,0.0226864012,5.2904466988,42.8818255606,15.939417758,1.4282825702,6997.917,7319.399,7425.057,30.521965398,2266.2734375,119.8959884644
